class,precision,recall,fscore,total
0,0.6,0.75,0.6666666666666665,4
1,0.3333333333333333,0.5,0.4,2
2,0.5,0.75,0.6,4
3,0.5,0.3333333333333333,0.4,3
4,0.3333333333333333,0.5,0.4,2
5,0.5,0.5,0.5,2
6,0.0,0.0,0.0,4
7,0.6,1.0,0.7499999999999999,3
8,0.5,1.0,0.6666666666666666,3
9,0.0,0.0,0.0,4
10,0.0,0.0,0.0,3
11,0.5,0.75,0.6,4
12,1.0,0.6666666666666666,0.8,3
13,1.0,0.25,0.4,4
14,0.5,0.6666666666666666,0.5714285714285715,3
15,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
16,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
17,0.4,0.5,0.4444444444444445,4
18,1.0,0.3333333333333333,0.5,3
19,0.3333333333333333,0.5,0.4,2
20,1.0,0.6666666666666666,0.8,3
21,0.0,0.0,0.0,3
22,0.25,0.3333333333333333,0.28571428571428575,3
23,0.3333333333333333,0.5,0.4,2
24,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
25,0.0,0.0,0.0,3